STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,5/12/2020,52,"H,,S",58,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,5/13/2020,56,"H,,S",66,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,5/14/2020,52,"H,,S",63,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,5/15/2020,60,"H,,S",,,,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,5/16/2020,61,"H,,S",,,54,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,5/17/2020,63,"H,,S",72,",,S",53,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,5/18/2020,65,"H,,S",,,53,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,5/19/2020,68,"H,,S",79,",,S",56,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,5/20/2020,70,"H,,S",,,,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,5/21/2020,70,"H,,S",83,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,5/22/2020,73,"H,,S",84,",,S",59,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,5/23/2020,63,"H,,S",81,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,5/24/2020,62,"H,,S",73,",,S",47,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,5/25/2020,67,"H,,S",,,50,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,5/26/2020,70,"H,,S",81,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,5/27/2020,70,"H,,S",83,",,S",56,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,5/28/2020,72,"H,,S",84,",,S",59,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,5/29/2020,72,"H,,S",85,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,5/30/2020,71,"H,,S",,,,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,5/31/2020,69,"H,,S",80,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,6/1/2020,67,"H,,S",76,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,6/2/2020,71,"H,,S",82,",,S",60,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,6/3/2020,67,"H,,S",81,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,6/4/2020,59,"H,,S",71,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,6/5/2020,60,"H,,S",66,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,6/6/2020,56,"H,,S",,,,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,6/7/2020,54,"H,,S",,,,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,6/8/2020,54,"H,,S",,,,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,6/9/2020,50,"H,,S",67,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,6/10/2020,62,"H,,S",71,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,6/11/2020,60,"H,,S",72,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,6/12/2020,60,"H,,S",74,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,6/13/2020,63,"H,,S",,,54,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,6/14/2020,64,"H,,S",74,",,S",53,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,6/15/2020,66,"H,,S",76,",,S",57,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,6/16/2020,61,"H,,S",72,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,6/17/2020,62,"H,,S",74,",,S",53,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,6/18/2020,63,"H,,S",73,",,S",53,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,6/19/2020,66,"H,,S",75,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,6/20/2020,70,"H,,S",79,",,S",60,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,6/21/2020,70,"H,,S",,,,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,6/22/2020,71,"H,,S",80,",,S",63,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,6/23/2020,74,"H,,S",88,",,S",,
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,6/24/2020,76,"H,,S",,,66,",,S"
FR000007630,"TOULOUSE BLAGNAC, FR",43.6208,1.3789,151,6/25/2020,76,"H,,S",,,,
